Container_ID,Declaration_Date,Declaration_Time,Trade_Regime,Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Risk_Flag
10000000,2020-01-01,14:34:22,Import,BE,PORT_40,UG,620822,IMP251,EXP105,417099.79,8753.44,8752.668695359374,LINE_MODE_40,37.29,0
10000001,2020-01-01,17:25:37,Import,BE,PORT_30,UG,620822,IMP405,EXP851,127910.85,2232.09,2227.531560106742,LINE_MODE_10,75.1,0
10000002,2020-01-01,03:58:07,Import,BE,PORT_20,UG,851712,IMP233,EXP160,87420.41,4165.25,4165.196139024843,LINE_MODE_40,19.12,0
10000003,2020-01-01,09:22:49,Import,BE,PORT_40,UG,071080,IMP679,EXP917,220804.22,738.39,737.5323341158877,LINE_MODE_40,35.66,0
10000004,2020-01-01,07:45:41,Import,BE,PORT_30,UG,851712,IMP719,EXP309,449744.13,3822.26,3819.203673164956,LINE_MODE_40,24.08,0
10000005,2020-01-01,18:05:54,Import,BE,PORT_20,UG,620822,IMP879,EXP920,144897.07,4245.8,4250.029237613669,LINE_MODE_40,68.12,0
10000006,2020-01-01,03:46:28,Import,BE,PORT_20,UG,851712,IMP991,EXP998,318025.03,1352.79,1350.4675122502656,LINE_MODE_10,52.92,0
10000007,2020-01-01,03:23:47,Import,BE,PORT_40,UG,851712,IMP193,EXP203,421098.05,9640.29,9641.273367166697,LINE_MODE_40,57.09,0
10000008,2020-01-01,17:09:54,Import,BE,PORT_30,UG,620822,IMP588,EXP132,143203.67,9416.65,9413.345702463745,LINE_MODE_40,31.17,0
10000009,2020-01-01,17:34:55,Import,BE,PORT_20,UG,440890,IMP376,EXP487,355946.14,2444.46,2440.3391215262154,LINE_MODE_10,75.24,0
10000010,2020-01-01,16:03:10,Import,BE,PORT_40,UG,620822,IMP252,EXP922,312820.29,2606.79,2611.2314271675277,LINE_MODE_40,66.07,0
10000011,2020-01-01,06:18:34,Import,BE,PORT_30,UG,440890,IMP476,EXP892,38058.66,6153.39,6157.629317268958,LINE_MODE_10,69.42,0
10000012,2020-01-01,23:03:42,Import,BE,PORT_20,UG,071080,IMP430,EXP208,19296.8,8841.65,8844.775586002634,LINE_MODE_40,32.93,0
10000013,2020-01-01,23:47:10,Import,BE,PORT_20,UG,690722,IMP889,EXP470,120122.66,6221.02,6222.596488046849,LINE_MODE_40,51.46,0
10000014,2020-01-01,16:44:55,Import,BE,PORT_30,UG,440890,IMP996,EXP820,4.815878791499778,1346.38,1346.38,LINE_MODE_10,71.62,1
10000015,2020-01-01,01:10:31,Import,BE,PORT_20,UG,940350,IMP809,EXP117,246369.19,3237.14,3234.5747139611894,LINE_MODE_40,25.34,0
10000016,2020-01-01,17:12:11,Import,BE,PORT_20,UG,620822,IMP601,EXP981,342956.0,8706.73,8704.98530610949,LINE_MODE_40,19.96,0
10000017,2020-01-01,01:59:05,Import,BE,PORT_30,UG,690722,IMP751,EXP157,320162.37,3676.46,3674.0153846618373,LINE_MODE_10,34.85,0
10000018,2020-01-01,05:54:44,Import,BE,PORT_20,UG,071080,IMP555,EXP864,135672.97,4671.2,4675.832304107476,LINE_MODE_10,31.42,0
10000019,2020-01-01,04:53:21,Import,BE,PORT_20,UG,851712,IMP163,EXP204,1.2891397166253964,9315.94,9315.94,LINE_MODE_10,70.85,1
10000020,2020-01-01,13:19:31,Import,BE,PORT_40,UG,620822,IMP462,EXP284,396176.33,9946.82,43203.038023779016,LINE_MODE_10,79.29,1
10000021,2020-01-01,16:38:36,Import,BE,PORT_20,UG,851712,IMP762,EXP473,183648.95,8458.63,8459.460801076415,LINE_MODE_40,55.45,0
10000022,2020-01-01,20:35:12,Import,BE,PORT_40,UG,071080,IMP268,EXP677,218916.22,8398.69,8403.416030766251,LINE_MODE_10,65.49,0
10000023,2020-01-01,17:48:12,Import,BE,PORT_30,UG,440890,IMP114,EXP864,215051.71,6684.85,6686.71772272388,LINE_MODE_10,52.69,0
10000024,2020-01-01,15:55:05,Import,BE,PORT_40,UG,940350,IMP425,EXP787,309541.05,9052.24,9052.55621972968,LINE_MODE_40,41.21,0
10000025,2020-01-01,18:00:55,Import,BE,PORT_30,UG,940350,IMP660,EXP993,172053.96,3428.08,3425.2477547957187,LINE_MODE_40,14.11,0
10000026,2020-01-01,15:45:10,Import,BE,PORT_30,UG,940350,IMP479,EXP264,422929.78,1802.24,1805.2298101521362,LINE_MODE_40,24.01,0
10000027,2020-01-01,21:21:29,Import,BE,PORT_40,UG,851712,IMP310,EXP219,487510.89,5685.89,5688.706340569831,LINE_MODE_40,20.53,0
10000028,2020-01-01,08:00:13,Import,BE,PORT_20,UG,071080,IMP343,EXP401,154832.12,2219.38,2219.0918765229994,LINE_MODE_10,19.73,0
10000029,2020-01-01,14:56:29,Import,BE,PORT_20,UG,620822,IMP831,EXP936,452529.12,6619.84,6621.275447538577,LINE_MODE_40,70.66,0
10000030,2020-01-01,09:15:28,Import,BE,PORT_40,UG,620822,IMP261,EXP794,349312.25,5889.06,5891.284541865325,LINE_MODE_10,21.38,0
10000031,2020-01-01,05:49:54,Import,BE,PORT_40,UG,690722,IMP617,EXP801,85886.11,4974.34,4969.743632468331,LINE_MODE_10,22.61,0
10000032,2020-01-01,15:29:01,Import,BE,PORT_30,UG,851712,IMP702,EXP738,373070.36,8292.81,8292.455726059361,LINE_MODE_40,49.22,0
10000033,2020-01-01,23:29:53,Import,BE,PORT_40,UG,851712,IMP567,EXP413,129271.39,6953.94,6949.31911081258,LINE_MODE_10,43.66,0
10000034,2020-01-01,04:47:11,Import,BE,PORT_40,UG,440890,IMP447,EXP206,456674.78,5128.93,5124.810101942092,LINE_MODE_10,44.9,0
10000035,2020-01-01,15:07:30,Import,BE,PORT_30,UG,071080,IMP109,EXP987,124947.49,3168.3,3171.2434119373975,LINE_MODE_40,24.69,0
10000036,2020-01-01,01:03:34,Import,BE,PORT_40,UG,851712,IMP735,EXP412,1.4956391457052436,4461.06,4461.06,LINE_MODE_10,26.29,1
10000037,2020-01-01,02:12:45,Import,BE,PORT_30,UG,620822,IMP807,EXP871,458954.01,2544.13,2539.6943466987173,LINE_MODE_40,68.59,0
10000038,2020-01-01,12:05:02,Import,BE,PORT_20,UG,440890,IMP864,EXP690,285233.1,4853.73,4849.069821228212,LINE_MODE_40,41.78,0
10000039,2020-01-01,22:39:12,Import,BE,PORT_40,UG,440890,IMP936,EXP169,133863.36,5943.17,5943.17,LINE_MODE_40,695.3310170033365,1
10000040,2020-01-01,06:31:16,Import,BE,PORT_40,UG,940350,IMP332,EXP534,131805.46,6296.17,25854.295223489287,LINE_MODE_10,59.21,1
10000041,2020-01-01,14:59:19,Import,BE,PORT_30,UG,071080,IMP336,EXP744,483733.89,6707.29,6709.360680951964,LINE_MODE_40,36.12,0
10000042,2020-01-01,03:55:00,Import,BE,PORT_20,UG,071080,IMP589,EXP126,128665.41,4976.71,4972.983436452603,LINE_MODE_40,74.38,0
10000043,2020-01-01,11:56:38,Import,BE,PORT_30,UG,690722,IMP562,EXP755,1.1375912315040386,6203.69,6203.69,LINE_MODE_10,41.19,1
10000044,2020-01-01,02:57:25,Import,BE,PORT_30,UG,690722,IMP119,EXP513,-7601.578947533525,5069.1,5069.1,LINE_MODE_10,31.67,1
10000045,2020-01-01,08:18:44,Import,BE,PORT_20,UG,690722,IMP921,EXP443,486933.47,8485.23,8489.059543261363,LINE_MODE_10,75.36,0
10000046,2020-01-01,08:57:53,Import,BE,PORT_20,UG,940350,IMP142,EXP249,19592.26,2907.3,2904.6770529110636,LINE_MODE_40,70.7,0
10000047,2020-01-01,19:26:49,Import,BE,PORT_30,UG,620822,IMP702,EXP731,129437.89,5793.51,5793.51,LINE_MODE_40,860.1190490061437,1
10000048,2020-01-01,20:46:25,Import,BE,PORT_20,UG,071080,IMP726,EXP175,44793.09,6165.14,6165.0147990492615,LINE_MODE_40,11.99,0
10000049,2020-01-01,00:25:14,Import,BE,PORT_40,UG,620822,IMP398,EXP938,118414.77,9109.31,9112.88769660341,LINE_MODE_40,69.13,0
10000050,2020-01-01,16:40:18,Import,BE,PORT_40,UG,851712,IMP999,EXP787,19275.24,4630.51,4632.464873132891,LINE_MODE_40,15.48,0
10000051,2020-01-01,20:58:57,Import,BE,PORT_30,UG,440890,IMP750,EXP265,244540.14,3451.54,3453.2672259119413,LINE_MODE_10,12.69,0
10000052,2020-01-01,08:31:00,Import,BE,PORT_30,UG,440890,IMP445,EXP265,496790.89,9598.6,9600.42717467196,LINE_MODE_10,37.19,0
10000053,2020-01-01,05:51:57,Import,BE,PORT_30,UG,690722,IMP992,EXP910,70002.3,8562.98,8561.231232457836,LINE_MODE_40,79.15,0
10000054,2020-01-01,04:58:30,Import,BE,PORT_40,UG,940350,IMP763,EXP603,212440.23,5048.02,5045.5747590475385,LINE_MODE_10,38.58,0
10000055,2020-01-01,19:05:19,Import,BE,PORT_40,UG,690722,IMP212,EXP696,385343.46,8722.84,8719.043603829468,LINE_MODE_10,34.52,0
